Year,Games_Won
1980,29
1981,22
1982,22
1983,13
1984,29
1985,18
1986,32
1987,18
1988,27
1989,13
1990,14
1991,22
1992,29
1993,30
1994,27
1995,28
1996,34
1997,35
1998,35
1999,28
2000,23
2001,24
2002,22
2003,32
2004,27
2005,28
2006,22
2007,22
2008,18
2009,22
2010,35
2011,29
2012,38
2013,21
2014,29
2015,38
2016,27
2017,32
2018,26
2019,30
2020,25
2021,9
2022,26
2023,22
2024,23
